step,tag
18,reward,normal,-3.6821120613582545,-3.682,ReDo,Walker2d-v4,4
45,reward,normal,1.989446769506653,-0.846,ReDo,Walker2d-v4,4
88,reward,normal,16.92654165417374,5.078,ReDo,Walker2d-v4,4
114,reward,normal,4.222831650824286,4.864,ReDo,Walker2d-v4,4
147,reward,normal,10.018454464981385,5.895,ReDo,Walker2d-v4,4
162,reward,normal,4.243551966397153,5.62,ReDo,Walker2d-v4,4
187,reward,normal,-2.758742907667097,4.423,ReDo,Walker2d-v4,4
201,reward,normal,-4.016816399930231,3.368,ReDo,Walker2d-v4,4
249,reward,normal,-9.926554494414072,1.891,ReDo,Walker2d-v4,4
263,reward,normal,1.8031036756514989,1.882,ReDo,Walker2d-v4,4
278,reward,normal,-2.7268721523035966,1.977,ReDo,Walker2d-v4,4
302,reward,normal,-5.241078208884799,1.254,ReDo,Walker2d-v4,4
316,reward,normal,-1.428706945076742,-0.581,ReDo,Walker2d-v4,4
342,reward,normal,-0.5373248696617707,-1.057,ReDo,Walker2d-v4,4
370,reward,normal,-6.371969587170398,-2.696,ReDo,Walker2d-v4,4
385,reward,normal,1.7657518261617637,-2.944,ReDo,Walker2d-v4,4
408,reward,normal,-3.300715394891942,-2.998,ReDo,Walker2d-v4,4
425,reward,normal,3.353088769580385,-2.261,ReDo,Walker2d-v4,4
447,reward,normal,9.81911683907125,-0.287,ReDo,Walker2d-v4,4
465,reward,normal,1.99524923560621,-0.267,ReDo,Walker2d-v4,4
476,reward,normal,-2.1460874349650556,-0.209,ReDo,Walker2d-v4,4
489,reward,normal,-4.177438174217994,-0.103,ReDo,Walker2d-v4,4
515,reward,normal,5.2544674519212125,0.565,ReDo,Walker2d-v4,4
536,reward,normal,-7.045201248926103,-0.085,ReDo,Walker2d-v4,4
570,reward,normal,10.615360251909056,1.613,ReDo,Walker2d-v4,4
587,reward,normal,-2.1558581350859254,1.221,ReDo,Walker2d-v4,4
615,reward,normal,6.65550025338265,2.217,ReDo,Walker2d-v4,4
634,reward,normal,-0.41288196168601665,1.84,ReDo,Walker2d-v4,4
660,reward,normal,1.8578725171233268,1.044,ReDo,Walker2d-v4,4
